alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       HNCO                     NH3                      NH2                      HCN                      NCO                      CN                       N2H3                     N2H4                     S3                       S4                       CO2                      SO4AER                   S8AER                    HCAER                    HCAER2                   SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e-01   9.8285842749767149e-01   2.7700000000000000e+02   2.5711778587411669e+19   9.9284138999999894e+04   1.5469096631325375e-15   2.0523694078092004e-05   6.2926480166800346e-03   1.4786548259819092e-16   6.0780773363627517e-14   2.8352313140729803e-11   4.2709886688186306e-09   2.8824647582422580e-06   1.4273844388491240e-07   9.0872076100863211e-18   7.4033915044380544e-10   8.5842534947138398e-06   4.7712821146548695e-17   6.5281313968438164e-18   9.9803436359438986e-16   8.8705962349846862e-13   1.3792548230213187e-19   1.5282171483142806e-11   2.1110659311306256e-12   2.7547553508639538e-28   4.4579410729626435e-20   1.7218890164038893e-22   2.1891017792276552e-21   1.5053379962591254e-19   6.7692469752450270e-22   4.4999507231135116e-29   5.4391451879932014e-25   1.2670237004767683e-29   8.0560540273101097e-30   1.4764257985985338e-25   5.3587311476464303e-24   1.7447532051133556e-28   2.8948936912564709e-27   5.5161708482697681e-37   1.1857001909857399e-08   3.2685140817103486e-15   6.9729947752469960e-18   2.6789480149551567e-17   9.5719726045245494e-21   3.3237414067969054e-24   3.3265915142285875e-25   1.1681885529574474e-34   1.5383859333201140e-36   2.1002946334550399e-30   4.1921028262622466e-33   7.3098570755813270e-38   1.3620499929325480e-35   9.7461619367192684e-20   2.8535882888804232e-22   2.2755389679726334e-14   3.2424095143249712e-11   1.7490221163649853e-19   7.3053333760619952e-24   1.3349788324132049e-12   2.2293734667732698e-12   2.2527573175795794e-11   3.5343813662534517e-15   1.4839298766117668e-18   6.1446953917991071e-24   9.4785993205687929e-23   6.5372593668097272e-17   7.8498936352938624e-28   7.6976785267715275e-34   4.8174695636359487e-28   1.3602636950723846e-30   3.6420560258345262e-34   4.8735553524956008e-35   1.0000000000000000e-02   6.0987081445814642e-11   4.4990203331920430e-52   8.4919059013714931e-30   1.9426703986461581e-33   1.0110206409450484e+01   5.7019497062986144e-40   3.1257236656782911e-12   9.1528449191507575e-16   6.9669885897270930e-04   4.7813836955624972e-04   1.0866141296377495e-06   1.0866141296377495e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
7.5000000000000000e-01   9.2533870849850319e-01   2.7300000000000000e+02   2.4561732974116045e+19   9.9284138999999894e+04   2.0962290480470615e-15   2.0490551055261350e-05   4.7160589623088094e-03   1.8263568254294870e-16   7.8942600124854279e-14   3.1016610533058032e-11   4.5219869589954443e-09   2.8825718883206581e-06   1.3778914813937371e-07   1.1408847455785643e-17   7.7547291206070103e-10   8.5694016726020386e-06   5.6027041815097007e-17   6.5284396529649419e-18   1.1318854840449689e-15   9.1719548089789792e-13   1.8436663565377075e-19   1.7858881560219926e-11   2.3342716478741253e-12   3.9093227924353630e-28   4.4577875452008287e-20   1.7786038763288086e-22   2.1824617997502668e-21   1.5053973007821507e-19   6.7523502905326688e-22   4.4373259941944986e-29   5.1623753108681237e-25   1.1072372744951793e-29   8.0721293801993596e-30   1.5015051372157895e-25   5.3660774264720873e-24   2.0899900595630568e-28   2.8945814143449893e-27   8.0164199997871497e-37   1.1547854336937261e-08   3.8899136126841705e-15   6.6363410305458204e-18   2.1849856986887000e-17   1.0550783123799073e-20   3.2248885079140224e-24   3.7458395487246946e-25   1.8870813314418239e-34   2.2058958162565881e-36   2.6777451946587946e-30   4.8785763883322512e-33   7.8497720431841175e-38   1.8433452908574321e-35   9.8760842512381656e-20   5.9276758885798355e-22   3.0852103531980761e-14   3.3399227762853344e-11   4.7210517622936999e-19   1.6169094662710556e-23   1.9420079144891425e-12   3.5634246428144012e-12   3.5074123113133354e-11   7.2817005345159651e-15   2.2131769460144029e-18   5.8645586041391156e-24   9.4705671187686066e-23   6.5643744472200713e-17   1.9215945021770205e-27   7.8611934840667600e-34   4.8142923162168648e-28   1.2102470037171955e-30   1.1711646374706618e-33   1.6703291508641921e-34   1.0000019039504789e-02   6.4271289357210660e-11   4.8084809180617624e-52   9.0741166282297689e-30   2.0758594283245706e-33   1.0178084971826166e+01   5.8215711445342894e-40   3.1906315146023266e-12   9.3429023134083950e-16   7.1681878485923623e-04   4.9480086402527406e-04   1.1498017258613213e-06   1.1498017258613213e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
1.2500000000000000e+00   8.7039301781813638e-01   2.6900000000000000e+02   2.3446824961600459e+19   9.9284138999999894e+04   2.8987710243259284e-15   2.0459158831077253e-05   3.3723004176805546e-03   2.1194402206286524e-16   9.7006597878673346e-14   3.2878932988484016e-11   4.6179780236401486e-09   2.8828092300828381e-06   1.3303618065362662e-07   1.3558804659085903e-17   7.8760794584212692e-10   8.5554049868799372e-06   6.2059130319063952e-17   6.5213033741583900e-18   1.3712368982721977e-15   9.8404649167513964e-13   2.6544078863041543e-19   2.1612574064242766e-11   2.5835346097652188e-12   5.5353692235725936e-28   4.4586138750486759e-20   1.7867788663204127e-22   2.1681668617929864e-21   1.5055227730790818e-19   6.7178689804538323e-22   4.1331803198611178e-29   4.7682412586805017e-25   9.1707755500367251e-30   8.0663764316201016e-30   1.5574075696972903e-25   5.3757100962243531e-24   2.3608674992185702e-28   2.8528022153749116e-27   1.0462550407642722e-36   1.0899644138395028e-08   4.8026044136483487e-15   5.6102534228460967e-18   1.6065683590590288e-17   1.1418990387543477e-20   3.0571595808933588e-24   3.8660041118867509e-25   2.8080393340834321e-34   2.9172354585887066e-36   3.1599638370112959e-30   6.1636903038170342e-33   8.7674497737552654e-38   2.5083274179902925e-35   1.0089350203297189e-19   1.0909619632108329e-21   4.0026414186654136e-14   3.4057100174950589e-11   1.0076923883529506e-18   3.3445413361896151e-23   2.5561782952508636e-12   4.9742180239654768e-12   4.3543127252757006e-11   1.2036379583069095e-14   2.9349892197993554e-18   5.3445209670499766e-24   9.3239785722681330e-23   6.5969539508158487e-17   3.9760598590109828e-27   7.8286923206264738e-34   4.8073221732158156e-28   9.9997368701603053e-31   3.5123986004042027e-33   5.5075581418515274e-34   1.0000037376581502e-02   7.0493970877432647e-11   5.4496341710546763e-52   1.0284431112372669e-29   2.3527351642498879e-33   1.0656781864247222e+01   6.2983196277226851e-40   3.4520541735777793e-12   1.0108388990864883e-15   7.3844229965635850e-04   5.1276071618346953e-04   1.2179522253856565e-06   1.2179522253856565e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
1.7500000000000000e+00   8.1794965385588270e-01   2.6500000000000000e+02   2.2366685019230159e+19   9.9284138999999894e+04   4.0981417939302814e-15   2.0429801711034389e-05   2.3869652924985536e-03   2.3785944480410911e-16   1.1524083329221573e-13   3.4269594674577732e-11   4.6007491955284548e-09   2.8831843164166005e-06   1.2852819408547157e-07   1.5605971440393226e-17   7.8803541661603924e-10   8.5423927903068640e-06   6.6247913369200359e-17   6.5002777319601921e-18   1.7758167767330161e-15   1.0907147120040380e-12   4.1586290416596030e-19   2.6970859857639929e-11   2.8726592014875292e-12   7.6624103380294677e-28   4.4603421027606120e-20   1.7576593185154400e-22   2.1457644496254700e-21   1.5057181366887234e-19   6.6664209032046778e-22   3.6709364865764856e-29   4.3492724144695915e-25   7.4296665969342674e-30   8.0075551777812672e-30   1.6500934890362807e-25   5.3836217256669081e-24   2.5669073861118558e-28   2.7813533854537277e-27   1.3039343236344052e-36   9.9177450844520085e-09   6.1238166833627736e-15   4.3238327821301289e-18   1.1083208224801631e-17   1.1957618309583970e-20   2.8516553957438114e-24   3.7874072920754147e-25   3.9364303586959581e-34   3.6599663003689378e-36   3.5454801199498547e-30   8.0301297014776814e-33   9.6314742169179012e-38   3.2672760314748119e-35   1.0312946429181668e-19   1.8230121646350973e-21   4.9680142163922175e-14   3.4110644859365579e-11   1.9241004000403449e-18   6.1201834546585598e-23   3.2091184350159292e-12   6.3725235908054433e-12   4.9509808408994909e-11   1.7913381718452984e-14   3.6440473893833716e-18   4.6496169062773259e-24   8.9250271011921836e-23   6.6358297157348374e-17   7.4738887164357585e-27   7.7721593745982799e-34   4.7964524800096786e-28   7.7695251864343491e-31   8.7753410920095726e-33   1.4844077413030610e-33   1.0000054819538334e-02   7.9685061837740617e-11   6.4757971357574818e-52   1.2242013113352077e-29   2.8005567896207164e-33   1.1491285335549538e+01   7.1395059914741587e-40   3.9198346671276302e-12   1.1478122788825280e-15   7.6171358627656637e-04   5.3214206606952148e-04   1.2915390523770489e-06   1.2915390523770489e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
2.2500000000000000e+00   7.6793525964073228e-01   2.6100000000000000e+02   2.1320875003621274e+19   9.9284138999999894e+04   5.9934292054147091e-15   2.0402666243003460e-05   1.6716013845881280e-03   2.6036870081234068e-16   1.3348061495609458e-13   3.5280259711732553e-11   4.5054616607695156e-09   2.8836922625441760e-06   1.2429386644738902e-07   1.7552831757706036e-17   7.8150839923816576e-10   8.5304441881670420e-06   6.8727123346957797e-17   6.4608145238492799e-18   2.4594346941808300e-15   1.2407748857964288e-12   7.0874015522825114e-19   3.5067377839424100e-11   3.2129470480533248e-12   1.0413243078484374e-27   4.4628667021217015e-20   1.7013643486205022e-22   2.1152229486640973e-21   1.5059856065597997e-19   6.5993527174208305e-22   3.1394476968079096e-29   3.9366915468723282e-25   5.9297002528287792e-30   7.8739004392703969e-30   1.7864445467526344e-25   5.3874290861915082e-24   2.7070256523502184e-28   2.7099633354649658e-27   1.6250146052099753e-36   8.6363886855949046e-09   8.0098244097852078e-15   3.0939781798032795e-18   7.2639478189250881e-18   1.2143397086036158e-20   2.6288632101861260e-24   3.6117914196006216e-25   5.2651394350500837e-34   4.4212049099312789e-36   3.8262788102720867e-30   1.0722312715629899e-32   9.9760430298716726e-38   3.9930587436892271e-35   1.0466198610819215e-19   2.8027772735625465e-21   5.8773034659217227e-14   3.3259798270416771e-11   3.4592973648267362e-18   9.9305384009007085e-23   3.9167465395329893e-12   7.7092180964635358e-12   5.3783949564840248e-11   2.5025270957997711e-14   4.3355063545232166e-18   3.8510131056022321e-24   8.1943835031381492e-23   6.6818093614452094e-17   1.3205732248898874e-26   7.8552916078812754e-34   4.7820099921522826e-28   5.6564977994131559e-31   1.8289136358178664e-32   3.2326272136866175e-33   1.0000071214078235e-02   9.1945475237867839e-11   7.9075954633034883e-52   1.5102242008893287e-29   3.4548679132816532e-33   1.2639371581447879e+01   8.3104169606493602e-40   4.6095628027977765e-12   1.3497748523488603e-15   7.8679397780118002e-04   5.5308357658119447e-04   1.3710917491690105e-06   1.3710917491690105e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
2.7500000000000000e+00   7.2025293470262985e-01   2.5675000000000000e+02   2.0328040019022049e+19   9.9284138999999894e+04   9.2005789561395525e-15   2.0377866960496508e-05   1.1310358368761221e-03   2.7656148247421897e-16   1.5106931689012192e-13   3.5807439588067589e-11   4.3507388153080053e-09   2.8843166624714879e-06   1.2034376330632644e-07   1.9327532994679040e-17   7.6945691559398088e-10   8.5196006463201968e-06   6.8866633466455953e-17   6.4006295922794741e-18   3.6485998764327767e-15   1.4385017724960057e-12   1.3183737542039250e-18   4.8368004195344642e-11   3.6072695646623188e-12   1.4321211596142135e-27   4.4661707387895264e-20   1.6155850224562990e-22   2.0768893303780775e-21   1.5063262209005645e-19   6.5185076894881095e-22   2.5889096434545552e-29   3.5247866318443372e-25   4.6028994474543741e-30   7.6546580522150240e-30   1.9744736740795841e-25   5.3862945033396874e-24   2.7572194090589499e-28   2.6664043698452513e-27   2.0818055505932289e-36   7.1179950173121760e-09   1.0702538946157637e-14   2.0525584592260208e-18   4.4650054052812971e-18   1.1942688468242552e-20   2.3985623956805222e-24   3.3732137208456680e-25   6.7705794915706690e-34   5.1818347984022815e-36   3.9705156629230641e-30   1.5068924236250120e-32   9.5331956880464939e-38   4.5878465084551928e-35   1.0483062304171281e-19   4.0088528375827036e-21   6.5868104144667916e-14   3.1227718355468247e-11   6.1209987831932418e-18   1.4309428566888279e-22   4.7011387418196050e-12   8.9518913981770055e-12   5.6792946930308063e-11   3.3610419385253673e-14   5.0046412624284055e-18   3.0198162657511716e-24   7.1034173778754298e-23   6.7356571532238692e-17   2.2616510519852933e-26   8.1311493758769898e-34   4.7646502582222977e-28   3.8068237432225531e-31   3.1974994958477264e-32   5.6556008448590969e-33   1.0000086432889273e-02   1.0728916711542039e-10   9.5903590632459047e-52   1.9033627196716646e-29   4.3542153364250515e-33   1.4061819311063850e+01   9.6095703115855333e-40   5.5389870807362951e-12   1.6219231408006689e-15   8.1418090793645710e-04   5.7589382274818302e-04   1.4570160799864846e-06   1.4570160799864846e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
3.2500000000000000e+00   6.7478802979437069e-01   2.5225000000000000e+02   1.9384612230914929e+19   9.9284138999999894e+04   1.5207724411426185e-14   2.0355427860270739e-05   7.3725146612970706e-04   2.8697472723104472e-16   1.6802382371891267e-13   3.5982195099190021e-11   4.1636736115527670e-09   2.8850268090062944e-06   1.1666996830119064e-07   2.1055104460184939e-17   7.5813980376599303e-10   8.5098578259471923e-06   6.6971621901610458e-17   6.3210009203973187e-18   5.8517079576889509e-15   1.6879946863606422e-12   2.6919202068548294e-18   7.2577242688861739e-11   4.0600478446310584e-12   1.2703273511095936e-26   4.4700465544308786e-20   1.5129524512512782e-22   2.0315581990229533e-21   1.5067393935738524e-19   6.4263301106539939e-22   2.0735410329976762e-29   3.1251806953024899e-25   3.4588575659852231e-30   7.3569407547229503e-30   2.2230175884042691e-25   5.3797579574009845e-24   2.7265950442417380e-28   2.7074720966453046e-27   2.8744206464747918e-36   5.4590250679564963e-09   1.4505602375113861e-14   1.2515303460735497e-18   2.5133270693209582e-18   1.1485926616633284e-20   2.1723987677761273e-24   3.1143215475072406e-25   8.4228542944056007e-34   5.9320529614068723e-36   3.9776653399894101e-30   2.3178132841183436e-32   8.1868456225610518e-38   4.9420401252426048e-35   1.0335483962800467e-19   5.3675482846938754e-21   6.8770365461751600e-14   2.7821302591271215e-11   1.0892485448510654e-17   1.8085846588506521e-22   5.5883869104923592e-12   1.0110582125931141e-11   5.9050535257905452e-11   4.3924883802755739e-14   5.6468410252556298e-18   2.2279421243174298e-24   5.6965609262250808e-23   6.7980870435817696e-17   3.8024687060325931e-26   8.9356449121799301e-34   4.7452100808864989e-28   2.3210707874991984e-31   4.6472447908760770e-32   7.7341241928005447e-33   1.0000100377937297e-02   1.2587993855185170e-10   1.1056762829683006e-51   2.4256391029832695e-29   5.5489754851227552e-33   1.5732720364898865e+01   1.0564754290756960e-39   6.7312634583002741e-12   1.9710370301884193e-15   8.4415036735463781e-04   6.0079523118698470e-04   1.5500924537989617e-06   1.5500924537989617e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
3.7500000000000000e+00   6.3147524819349932e-01   2.4800000000000000e+02   1.8451240695051649e+19   9.9284138999999894e+04   2.8288380631032074e-14   2.0335263850828143e-05   4.8506156827092761e-04   2.9884472006229938e-16   1.8580488817928817e-13   3.6298824984139290e-11   3.9762585587587078e-09   2.8857792171198876e-06   1.1323549648699987e-07   2.3117992753462464e-17   7.5657542548179391e-10   8.5011614052101731e-06   6.5006890243355529e-17   6.2259899684450840e-18   1.0398950216169520e-14   1.9928238364733705e-12   6.0927101001301598e-18   1.2264611478160097e-10   4.5827833329404002e-12   1.6086787808117030e-24   4.4740898766218145e-20   1.4232594151446874e-22   1.9802847718567002e-21   1.5072238946387202e-19   6.3254629056962403e-22   1.6447217878817729e-29   2.7723414070649343e-25   2.5470024052313388e-30   7.0017321289220722e-30   2.5418574446253265e-25   5.3671484472581987e-24   2.6815118611303470e-28   2.9528413915180229e-27   4.6599281104772187e-36   3.7893160412697810e-09   1.9672721269609391e-14   6.9706627636787918e-19   1.2639294780425069e-18   1.1050594691953683e-20   1.9656153533385894e-24   2.9289605510333900e-25   1.0207533653843855e-33   6.6872844755725582e-36   3.8645416093950059e-30   3.9654981940674380e-32   5.9043612327209040e-38   4.7466151937076974e-35   1.0049091303205874e-19   6.7823681853211477e-21   6.4699336839427152e-14   2.2977623698883499e-11   1.8979474550698338e-17   1.9533023546971489e-22   6.5596823005137707e-12   1.1241290862801255e-11   6.1077207398216335e-11   5.5853048527359552e-14   6.2584902941888248e-18   1.5363721846362486e-24   4.1016500718918161e-23   6.8698581470808857e-17   6.1756722566119726e-26   1.1407088976568487e-33   4.7245310630815385e-28   1.2516306909518470e-31   5.5133606521432302e-32   7.8596966848220543e-33   1.0000112995453328e-02   1.4819439845689541e-10   1.1758827925587603e-51   3.1084214572908832e-29   7.1109042350721712e-33   1.7629809175581038e+01   1.0694610911859936e-39   8.2106730349051598e-12   2.4042258550719350e-15   8.7631672849716312e-04   6.2769978799226693e-04   1.6515761748967493e-06   1.6515761748967493e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
4.2500000000000000e+00   5.9028954224440411e-01   2.4400000000000000e+02   1.7530575989765655e+19   9.9284138999999894e+04   6.0993523488739156e-14   2.0317236723857526e-05   3.2268905442791544e-04   3.1210437463610318e-16   2.0433538916268617e-13   3.6648397518170599e-11   3.7543370376606705e-09   2.8865251750235824e-06   1.0996766406952385e-07   2.5346255374948618e-17   7.5706376745280040e-10   8.4934467062472604e-06   6.3040005525667001e-17   6.1191124063561378e-18   2.1336620875880688e-14   2.3546105825265080e-12   1.5746976525771458e-17   2.3923389375155826e-10   5.1465933127648865e-12   8.3504575825695982e-23   4.4782165384847381e-20   1.3450832834856973e-22   1.9240158126344784e-21   1.5077795995406036e-19   6.2180699124386648e-22   1.2979556467480560e-29   2.4537518066648644e-25   1.7737998315552533e-30   6.6056280040085345e-30   2.9422283203100933e-25   5.3487904816838242e-24   2.6256331599342776e-28   3.5872140248185009e-27   9.2445301881172643e-36   2.2694858341113031e-09   2.6511475084637352e-14   3.4541210136315362e-19   5.3609246297919932e-19   1.0553335243311772e-20   1.7792549616783765e-24   2.8232356952855140e-25   1.2102510519839350e-33   7.4500530001926386e-36   3.5008430236407818e-30   7.2655718748125397e-32   3.2456598370044312e-38   3.6409167367521202e-35   9.6946204603276675e-20   8.4120990746588766e-21   5.2170838402585798e-14   1.6899344180027964e-11   3.2422790357574996e-17   1.7761429654043370e-22   7.4182687653231470e-12   1.2304505811976631e-11   6.2992420286606393e-11   6.9810447722882784e-14   6.8368076218263171e-18   9.7988247584956449e-25   2.5202948496258511e-23   6.9518163980956635e-17   9.7322933577600282e-26   1.7596153806749131e-33   4.7033439599514811e-28   5.8427555037678480e-32   5.4575497673358668e-32   5.7741796170215519e-33   1.0000124257509548e-02   1.7351570405090424e-10   1.1655539109169763e-51   3.9630093312762489e-29   9.0658475627907946e-33   1.9612154201912482e+01   1.0071747451992142e-39   9.9456819216711453e-12   2.9122553831570838e-15   9.1087387063350244e-04   6.5678773996861279e-04   1.7622328592893927e-06   1.7622328592893927e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
4.7500000000000000e+00   5.5117967042601290e-01   2.4000000000000000e+02   1.6641898613584923e+19   9.9284138999999894e+04   1.4313151007989044e-13   2.0301162772425409e-05   2.1174647151765938e-04   3.2213034250696974e-16   2.2316028807237563e-13   3.6205207752363751e-11   3.4215379030774154e-09   2.8872143261710936e-06   1.0677562882501639e-07   2.6578032816932858e-17   7.2718619000737021e-10   8.4866543149805080e-06   6.0469300005481846e-17   6.0033846186300783e-18   5.3692301859128342e-14   2.7704918644450749e-12   4.8442330505694856e-17   5.0564870421382234e-10   5.6910200193694124e-12   2.2771143424275501e-21   4.4824971339769618e-20   1.2619389997957035e-22   1.8636524795344027e-21   1.5084067990568590e-19   6.1060322934902165e-22   1.0049333343903204e-29   2.1302523048629716e-25   1.0816769158036214e-30   6.1810702231279057e-30   3.4352717969978092e-25   5.3259889743161791e-24   2.5412986190555460e-28   4.8828033311204423e-27   2.0934495018765837e-35   1.0924854325990285e-09   3.5328098077536660e-14   1.4880310178565918e-19   1.8743526337904673e-19   9.6072196814655117e-21   1.6040341189019136e-24   2.7660025061478103e-25   1.4076044117634865e-33   8.1852156194588779e-36   2.7207352397115515e-30   1.3228411880960544e-31   1.5054304419630296e-38   2.1063399160535361e-35   9.3504573663873283e-20   1.0983694497884277e-20   3.4227995732381214e-14   1.0544876164781131e-11   5.5597081710587078e-17   1.3693247774112049e-22   7.5532128248956217e-12   1.3191112992864131e-11   6.4671245183878989e-11   8.7732212552782555e-14   7.3789038237460833e-18   5.7221731159726811e-25   1.2225080347787717e-23   7.0448007754715610e-17   1.5129070793172929e-25   3.0337099168636758e-33   4.6821882210232463e-28   2.3604969932018904e-32   4.8242083898104542e-32   3.1073379767783105e-33   1.0000134142346679e-02   2.0026255268293915e-10   1.1233080443032138e-51   4.9812485960114640e-29   1.1395148795309932e-32   2.1487853409590471e+01   9.2146402009437745e-40   1.1867366992317704e-11   3.4749433635336040e-15   9.4842460954826300e-04   6.8844981356351218e-04   1.8827428988039767e-06   1.8827428988039767e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
