alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       HNCO                     NH3                      NH2                      HCN                      NCO                      CN                       N2H3                     N2H4                     S3                       S4                       CO2                      SO4AER                   S8AER                    HCAER                    HCAER2                   SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e-01   9.8294013553275716e-01   2.7700000000000000e+02   2.5713916086412702e+19   9.9284138999999894e+04   2.4421544890513333e-14   2.1743541538307406e-08   6.2926480166800346e-03   8.7743146000070595e-14   5.1580097640691641e-16   4.4576770660337701e-11   7.0489778976706515e-09   2.5504641142929988e-03   5.0960895497262260e-05   1.0379144822350822e-13   1.1045634035770001e-09   1.0162747523783456e-03   4.9375217249940559e-14   2.0522921694449429e-07   3.5286403572273620e-13   4.2921352235290220e-12   1.9925010012944013e-13   1.1796032134720911e-13   3.8700336066991959e-14   3.7084930585648967e-24   3.3491093525607839e-25   2.0068598636925797e-25   7.7572548114576940e-21   9.7488732232464940e-22   1.0592891199386118e-23   1.0782706692445736e-14   8.8920384337375578e-15   8.9689363686645035e-15   1.0021424633694139e-10   2.2759152361993710e-17   1.3913444472820939e-20   4.6359061118582009e-17   2.4224901190823495e-14   1.2444026231453115e-30   1.5668515312787185e-10   1.4524471643451536e-11   1.0945020707439346e-12   1.7274444892768396e-12   1.8510729685007404e-11   1.3825951280954073e-16   2.3226173374934424e-20   7.1023674368275353e-30   8.1690129574955722e-31   6.4903289797036723e-23   2.3974735367654626e-23   4.7869035902638826e-22   1.0217578152247655e-20   2.3964033084255344e-10   5.3347967293464580e-16   1.5420922987272309e-13   3.4751888187955487e-10   1.1576145572295618e-20   2.7947261585891280e-15   8.3413762499472769e-12   8.4763132022938839e-14   7.7752897133014224e-11   3.9664140564140243e-14   1.0264937037811692e-20   2.8196703109882180e-19   3.9988903638050427e-21   1.5807572197666345e-11   2.7676801991707033e-32   6.9364214283264228e-28   3.5631565838697022e-27   1.5133766613553320e-27   5.5985881322296991e-19   1.1690295585613370e-17   1.0000000000000000e-02   6.3267041791640495e-12   2.3428204630553745e-13   1.2314409017246471e-13   1.9767889260002718e-16   1.0489048768621931e+00   2.9676426996446886e-01   4.5330048570301202e+04   9.3141037945030533e+01   6.9667723166722841e-04   4.7811853120193143e-04   1.0865244361192695e-06   1.0865244361192695e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
7.5000000000000000e-01   9.2557116129345662e-01   2.7300000000000000e+02   2.4567903086126162e+19   9.9284138999999894e+04   3.0947361524167399e-14   8.1968006170321152e-09   4.7160589623088094e-03   1.2883049601431900e-13   6.4466110611964685e-16   4.7231442416005344e-11   6.7438203052468807e-09   2.5504682638547728e-03   5.0958492141915418e-05   3.6181316061206073e-13   1.1308617692380897e-09   1.0162671916121972e-03   1.4721905896587474e-13   2.0524264720475997e-07   4.3942798610519459e-13   3.8198880101703676e-12   6.2021188073880654e-13   4.8361060503059736e-14   3.5892008328603813e-14   3.2546277400663171e-24   3.3203065342646393e-25   2.2405253535772079e-25   7.7607574090323521e-21   9.9121181827042122e-22   9.6080591248726456e-24   9.8827047432654599e-15   9.7090315089739756e-15   7.7490582542135420e-15   1.0025766741074389e-10   2.1300990388798294e-17   1.2630475582578610e-20   1.4079510048100420e-16   2.6123277050898846e-14   3.7254218767802832e-30   1.2970437714567854e-10   3.7542155639617451e-11   2.0696530096897814e-12   2.3641224228799704e-12   3.9206482885064752e-11   1.4068624059878589e-16   4.8227802868194584e-20   1.0610085224641083e-29   1.2156584094561611e-30   1.0387945884955761e-22   7.9067112258391113e-23   6.4940753556906501e-22   1.9917461203912595e-20   2.5720197431034055e-10   1.7764637615875615e-15   2.1712720240287158e-13   3.5750011241662618e-10   2.3841532585426306e-20   8.2401814389624383e-15   8.6124372826915394e-12   1.1083755107594378e-13   1.0061535165338736e-10   5.5989775342757198e-14   9.0045537092556066e-21   2.8615102626042910e-19   4.4525506426312917e-21   1.5864582644223735e-11   2.2521133993589348e-32   7.3067236579549239e-28   3.2528284444980631e-27   1.3235996121152306e-27   3.8555908590750047e-18   7.3757666850887582e-17   1.0000008723997087e-02   6.7276545486724677e-12   2.5039686648309915e-13   1.3158414886451074e-13   2.1122742305237589e-16   1.0656684957147307e+00   3.0304097892701048e-01   4.6278156837263115e+04   9.5089145014272844e+01   7.1674915092378609e-04   4.9473700038369240e-04   1.1495148894978420e-06   1.1495148894978420e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
1.2500000000000000e+00   8.7076012122758084e-01   2.6900000000000000e+02   2.3456714068254401e+19   9.9284138999999894e+04   2.9623174670953817e-14   1.1993918263477064e-09   3.3723004176805546e-03   1.5994322148540163e-13   6.4666052383278064e-16   4.4241986642491593e-11   5.2478582233230178e-09   2.5504759175018965e-03   5.0959443428078616e-05   2.4903964753548616e-12   1.1284819435936731e-09   1.0162607327674584e-03   7.8723899260545710e-13   2.0527141299968120e-07   6.6055674077032590e-13   2.2332398874071072e-12   1.9725974454494036e-12   6.1710080540976279e-15   2.5997990200147225e-14   1.0601533350274659e-24   3.9102599649909733e-25   2.7221092227130862e-25   7.7632688485923147e-21   1.0235854726352440e-21   7.7067674366340613e-24   7.0550038804070685e-15   1.1320938225063465e-14   6.0252117357164147e-15   1.0035157545839677e-10   1.9633029714863244e-17   1.0734540901976011e-20   8.7089303906208756e-16   3.0725878147972916e-14   1.1007975985956263e-29   7.4951336536228097e-11   7.6651427173080375e-11   4.5692172495207399e-12   3.3135852134832034e-12   1.0306577000571367e-10   1.4630070291626647e-16   1.1711873189286511e-19   1.5315992383637752e-29   1.7484601127922779e-30   1.4360942640355104e-22   2.9790055013767423e-22   1.0268055392166912e-21   4.0560222452772934e-20   2.9686934471547924e-10   8.7695115707128097e-15   3.1090368757593459e-13   3.7152193420480115e-10   3.0680492289908452e-20   3.1844663803617268e-14   6.4371537986855778e-12   1.0574666050179361e-13   9.9060747740893709e-11   6.3298895818140301e-14   6.7590615836539579e-21   2.8809620141060508e-19   3.4575884153972961e-21   1.5924273292661102e-11   1.7490724929068633e-32   5.7789575963634357e-28   2.6725943098491417e-27   8.4141332453141545e-28   2.9895907771728772e-17   5.2456910433232295e-16   1.0000012904196973e-02   7.5468319510215220e-12   2.8383580675866704e-13   1.4912968201513877e-13   2.3939265256872314e-16   1.1413588365553580e+00   3.2797348628645157e-01   5.0076694441421125e+04   1.0289411646883266e+02   7.3831757165023903e-04   5.1264637201974331e-04   1.2174420255284209e-06   1.2174420255284209e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
1.7500000000000000e+00   8.1843624016915073e-01   2.6500000000000000e+02   2.2379990633765515e+19   9.9284138999999894e+04   1.6380152657446457e-14   6.4537798363263229e-11   2.3869652924985536e-03   1.6679117260023117e-13   3.9868730889542243e-16   1.8272307540849034e-11   2.6962563393959205e-09   2.5504866064639093e-03   5.0963757109068791e-05   9.6051906862913124e-12   1.4809294122690766e-09   1.0162551230680158e-03   1.1619451915736009e-12   2.0530280983839659e-07   1.1463661727344786e-12   4.4365037009292817e-13   3.2921483512930110e-12   2.2625311584369094e-16   1.4793576042983806e-14   1.9127423566022050e-25   5.6651434146834855e-25   3.6929268194468001e-25   7.7411861870997790e-21   1.0451429919050440e-21   7.1539136932170832e-24   3.4994732596045679e-15   1.1539138146770476e-14   3.8866044774593619e-15   1.0047312643245386e-10   1.4851527240841896e-17   7.3870837036829899e-21   5.3045933082417812e-15   3.7872094693331631e-14   8.5379827642207550e-30   1.1107698509221050e-11   3.9764922081701338e-11   3.1528727906457643e-12   1.5007774853183640e-12   1.9021035588013326e-10   1.5537081465977494e-16   8.9155552099509087e-20   2.1775699261573760e-29   2.4774093234515631e-30   1.7073603061965198e-22   4.4389636778183138e-22   1.4412027350178233e-21   6.3363888233634169e-20   3.5538963171781881e-10   2.4512140361807167e-14   3.9703809651066688e-13   3.8551046936009563e-10   1.9425410541524424e-20   8.1776688666523015e-14   3.2352757732942331e-12   7.6036395753831299e-14   7.9543494538749523e-11   1.0492510765503760e-13   3.8023691111936114e-21   2.6143576882224863e-19   1.2384474566495338e-21   1.5986813786552852e-11   1.3807626495205025e-32   2.6237303879845723e-28   2.0129597437266107e-27   3.6290804796767167e-28   1.4135321776436428e-16   2.3515621666294169e-15   1.0000012568509195e-02   8.8668916716421400e-12   3.3788061218722175e-13   1.7750673329790144e-13   2.8494533857222785e-16   1.2794450925717928e+00   3.7250109436987405e-01   5.6869461990823947e+04   1.1685142381851365e+02   7.6152566695475530e-04   5.3196990721260872e-04   1.2907758629426182e-06   1.2907758629426182e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
2.2500000000000000e+00   7.6852706180456865e-01   2.6100000000000000e+02   2.1337305737597379e+19   9.9284138999999894e+04   1.0627627971575952e-14   3.4189448931233571e-12   1.6716013845881280e-03   1.5574469425911582e-13   2.3612312991864069e-16   2.3127306407829077e-12   1.1945663980439288e-09   2.5504985288507137e-03   5.0971397128184054e-05   1.0157679119455900e-11   1.4893976503109094e-09   1.0162495092246001e-03   7.7513739098240642e-13   2.0531449842622101e-07   1.6408837047920951e-12   6.9355389434952544e-14   3.2913778478505349e-12   7.3413346365154755e-18   7.8624374499672407e-15   1.8230808073574607e-25   9.1590553530018321e-25   5.2632621391178446e-25   7.6925326540929128e-21   1.0562502992863135e-21   7.3537482946709406e-24   1.6907407052322363e-15   1.0209846152670233e-14   2.6599838008180535e-15   1.0044670388967389e-10   1.0316165361686370e-17   5.2342413284471554e-21   6.3113020638627358e-15   4.0348061781500828e-14   3.8272305190374158e-30   1.0586119540065781e-12   1.1940731091457546e-11   1.4064836000680899e-12   7.8701894887199677e-13   1.5695900043442979e-10   1.6726694390393340e-16   4.3676367631515632e-20   3.0567581859449188e-29   3.4665185952495609e-30   1.8533705523506654e-22   4.6729078982567907e-22   1.7225483724836513e-21   7.4032722723512350e-20   4.2297224261645726e-10   4.4346897736150878e-14   5.4865425902994030e-13   3.8925627054383852e-10   1.1462049132145308e-20   1.4655448445702354e-13   2.4518216491834719e-12   4.9159013549496465e-14   5.6683152355744909e-11   5.6577874543931629e-13   2.2784897223578915e-21   2.1352296654513742e-19   8.9192313537175849e-22   1.6052386843989779e-11   1.2154577588045365e-32   1.3884769626997839e-28   1.4656079071753255e-27   1.5159411295991626e-28   3.8314308398013645e-16   6.2837313198693613e-15   1.0000009500828569e-02   1.0803736524076944e-11   4.1679258753628469e-13   2.1896553964544943e-13   3.5149770755563127e-16   1.4862912171078972e+00   4.3809061236046393e-01   6.6883615188323776e+04   1.3742781083716775e+02   7.8653361544826523e-04   5.5284526843524283e-04   1.3700420641668591e-06   1.3700420641668591e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
2.7500000000000000e+00   7.2093659979356217e-01   2.5675000000000000e+02   2.0347335422981517e+19   9.9284138999999894e+04   1.3187602663608712e-14   2.6336752790685576e-13   1.1310358368761221e-03   1.4963736973609921e-13   1.5939741824013384e-16   1.0716551121805680e-13   5.1402693634394674e-10   2.5505108510180392e-03   5.0981154389765273e-05   9.3978096046381375e-12   1.2424030668476213e-09   1.0162436693766800e-03   5.6338186429520855e-13   2.0531609677857605e-07   2.0580511544700230e-12   5.3727845730761983e-15   3.1477220258215174e-12   4.6475100973823189e-19   4.0295151069141159e-15   2.1989389548129785e-24   1.3734681146278379e-24   7.0663967028206548e-25   7.6302854328655558e-21   1.0696639834498710e-21   7.4938187763781890e-24   1.1246598593130483e-15   8.5189495883908841e-15   2.0281863928713553e-15   1.0029649326672227e-10   7.0868816086710526e-18   4.0441117842402435e-21   4.7041810471790978e-15   3.9049166210005710e-14   1.7852469114057371e-30   8.5617674616611329e-14   2.8615814241481934e-12   6.3036168110886586e-13   4.8262789564406329e-13   1.0779987008001544e-10   1.8103581830799006e-16   2.1629644906208314e-20   4.2293297014518708e-29   4.7811049412666969e-30   2.0950364779458920e-22   3.9727725004211013e-22   1.8093914630135799e-21   7.3070679899544896e-20   4.9605132664098713e-10   7.4134307459137225e-14   7.7391832459851099e-13   3.8109697328006437e-10   8.8685280940875064e-21   2.3828023233463306e-13   2.7488106134800251e-12   3.1632849247090223e-14   3.4661574429050981e-11   2.0100524266493275e-12   1.5444384517028016e-21   1.6554392213929702e-19   8.2134204195479015e-22   1.6121157274378046e-11   1.2120393659360248e-32   1.3766025663568800e-28   1.0497294738073626e-27   6.7130296687210107e-29   8.8635705456538823e-16   1.4090124696823264e-14   1.0000004824721045e-02   1.3479976767149559e-11   5.2510819025423470e-13   2.7594622647709753e-13   4.4296680734475263e-16   1.7684265744750305e+00   5.2633314138719245e-01   8.0377851144925633e+04   1.6515483039520547e+02   8.1383759395605164e-04   5.7557994122390697e-04   1.4556420234144991e-06   1.4556420234144991e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
3.2500000000000000e+00   6.7555110513778149e-01   2.5225000000000000e+02   1.9406533069729300e+19   9.9284138999999894e+04   2.0214014973673714e-14   2.6730965349141090e-14   7.3725146612970706e-04   1.4832251965028533e-13   1.1830021825104721e-16   7.0982896533261481e-15   2.1621700876007831e-10   2.5505233678534060e-03   5.0992306487410188e-05   8.6427476081128614e-12   9.7341097821699448e-10   1.0162375506158493e-03   4.3513054690059887e-13   2.0531219821716827e-07   2.4063741618345824e-12   9.3178176833867886e-16   3.0823132002874592e-12   5.7980578415418327e-20   2.0064306254456382e-15   1.2719555281247345e-22   1.8910189569342789e-24   8.9189739460014109e-25   7.5612335990942786e-21   1.0898978026166579e-21   7.5702186354385595e-24   1.1132511472913312e-15   6.8387433212431941e-15   1.7091197733736904e-15   1.0007760576993708e-10   4.9578057609626296e-18   3.3479051487225076e-21   3.6803639941276111e-15   3.6424329017056183e-14   9.3796561868475062e-31   6.3046984228849893e-15   6.1221007836087412e-13   3.0689840962765190e-13   3.0907375921889845e-13   7.1172430243922721e-11   1.9585186428896109e-16   1.1708303149820329e-20   5.7480241318659292e-29   6.4780453809094700e-30   2.4606230222349720e-22   3.1523024278030682e-22   1.7176219230594660e-21   6.4945079421680637e-20   5.7163612136930267e-10   1.1866667310443216e-13   1.0659536284236561e-12   3.5812195086834340e-10   9.2589388691545741e-21   3.6513466143815288e-13   2.4345000146442591e-12   2.1817846695396446e-14   2.1723682662948626e-11   2.6355719526511815e-12   1.1486122385312358e-21   1.2347870835555673e-19   7.5418792332608151e-22   1.6193267634307142e-11   1.3306168040569634e-32   1.6490842938566365e-28   7.4617563790341334e-28   3.3150038754002872e-29   1.8666691009365587e-15   2.8296252258456296e-14   9.9999990193844444e-03   1.7050786236634511e-11   6.6845924301832929e-13   3.5163859511262138e-13   5.6447311421795131e-16   2.1334511770348539e+00   6.3903886256141684e-01   9.7689723478379441e+04   2.0072606424046629e+02   8.4371203540026132e-04   6.0039499842270299e-04   1.5483507529167924e-06   1.5483507529167924e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
3.7500000000000000e+00   6.3230605236155424e-01   2.4800000000000000e+02   1.8475516179671335e+19   9.9284138999999894e+04   3.2384995068960706e-14   8.6805047712101249e-15   4.8506156827092761e-04   1.5124629240135261e-13   9.5800285224338554e-17   1.5864434362993906e-15   8.9462865210211758e-11   2.5505360876766454e-03   5.1004559536240293e-05   7.9923311230714756e-12   7.5635044038151222e-10   1.0162311278774396e-03   3.6095797737549329e-13   2.0530487345166339e-07   2.7588652305881410e-12   9.8838499072217769e-16   3.0647355290867807e-12   2.5434017565301892e-20   9.7725221239930432e-16   5.8746170920692013e-21   2.4197117289669354e-24   1.0696422109901743e-24   7.4890491224211814e-21   1.1178429253785398e-21   7.6310058359744807e-24   1.4000990270793979e-15   5.2994599561032105e-15   1.5582914988191331e-15   9.9814758236043803e-11   3.5997674198327558e-18   2.9317223091510412e-21   3.1615008109806042e-15   3.3483058776835217e-14   5.8841456438191830e-31   4.7937768304960870e-16   1.2149009356610425e-13   1.7181368789586177e-13   2.1105797319007392e-13   4.8241507122101892e-11   2.1097514225718007e-16   7.3301149950386084e-21   7.6558584891800574e-29   8.6057372850023041e-30   2.9528754926868222e-22   2.5912323791263401e-22   1.4919702823479053e-21   5.3799732993414692e-20   6.4674253216354526e-10   1.8329726525615545e-13   1.3829743917594386e-12   3.2410293868894444e-10   1.2237823055853187e-20   5.3293836036046697e-13   2.1484415014692833e-12   1.7634645583143115e-14   1.5215149316629492e-11   3.1850351913172022e-12   9.3280179294234551e-22   8.9212851156961744e-20   6.6816313725586033e-22   1.6268942776207180e-11   1.5675585110290708e-32   2.0757823954369568e-28   5.2807784600894715e-28   1.8197204481438208e-29   3.6198365891930307e-15   5.1574142895333178e-14   9.9999923177421391e-03   2.1733662464593345e-11   8.5399875409884380e-13   4.5058748510341463e-13   7.2331229984153539e-16   2.5889272065614350e+00   7.7724546891623059e-01   1.1917360948294394e+05   2.4486966224381925e+02   8.7576926944963576e-04   6.2720067240342543e-04   1.6494169981077370e-06   1.6494169981077370e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
4.2500000000000000e+00   5.9117709018572273e-01   2.4400000000000000e+02   1.7556934624835975e+19   9.9284138999999894e+04   5.2607875680311537e-14   8.2871339228189648e-15   3.2268905442791544e-04   1.5749720756708564e-13   8.3880420764428988e-17   1.0790706447912482e-15   3.6475220203475658e-11   2.5505490940130205e-03   5.1017816164652758e-05   7.4225350446830866e-12   5.9318295410517322e-10   1.0162243744093200e-03   3.2322025774100609e-13   2.0529502091255709e-07   3.1323188077160113e-12   1.6637098646761211e-15   3.0431166098064937e-12   3.4849032657639728e-20   4.6653207332054741e-16   1.2697506544254952e-19   2.9299429227860003e-24   1.2350847930051879e-24   7.4157565924195517e-21   1.1529471901980510e-21   7.7156062983289851e-24   1.9346582038333892e-15   3.9497652517891905e-15   1.4877250715415026e-15   9.9518286758768965e-11   2.7348760730920433e-18   2.6938808850827248e-21   2.9745488536030382e-15   3.0588312953382542e-14   4.4473470456374411e-31   8.1981679532261230e-17   2.2817923566008286e-14   1.1281620838301697e-13   1.5448004487838496e-13   3.4647720656400845e-11   2.2575471643825057e-16   5.3886231326483138e-21   1.0008392484788560e-28   1.1225675798091550e-29   3.5841212067637488e-22   2.3212825340545912e-22   1.2137408661285158e-21   4.2449597254106877e-20   7.1757262743833286e-10   2.7264551672381735e-13   1.6795894052544610e-12   2.8490262742402846e-10   1.9863587102200702e-20   7.3621037750991858e-13   2.0751421346810989e-12   1.7900559094607301e-14   1.2262711093212125e-11   4.0417578057436876e-12   8.2629811966456495e-22   6.2833850223639018e-20   5.7656661142772479e-22   1.6348504187181647e-11   1.9840701109390198e-32   2.6662479931282230e-28   3.7216964646959553e-28   1.0695025432580757e-29   6.4175483775757577e-15   8.4428558547728070e-14   9.9999848342626086e-03   2.7603059210102285e-11   1.0806868534372728e-12   5.7442918063101711e-13   9.2211103387167501e-16   3.1246130946128310e+00   9.3465845809248904e-01   1.4437419406141411e+05   2.9665007454189885e+02   9.1020114743267677e-04   6.5617548238425575e-04   1.7595997694943026e-06   1.7595997694943026e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
4.7500000000000000e+00   5.5211370999385079e-01   2.4000000000000000e+02   1.6670100291954190e+19   9.9284138999999894e+04   8.5295904006226289e-14   9.7612702562488726e-15   2.1174647151765938e-04   1.6559574868858508e-13   7.7005109207570200e-17   9.0832170040071474e-16   1.4634683399435903e-11   2.5505624846388054e-03   5.1032054503465565e-05   6.8799487976146366e-12   4.6963818481171935e-10   1.0162172659544215e-03   3.0586797682474138e-13   2.0528298835785798e-07   3.5187847746466679e-12   2.8470168016197559e-15   2.9763428576342097e-12   5.9739946527726738e-20   2.1841431614320857e-16   1.2819679815996961e-18   3.4166264494197887e-24   1.3883490074521115e-24   7.3425066188463116e-21   1.1939481200270573e-21   7.8450224911145441e-24   2.7155263808603503e-15   2.8117577591844174e-15   1.4303862188648712e-15   9.9192469543350031e-11   2.1543113019274394e-18   2.5573807751638155e-21   2.9760603036313686e-15   2.7838821691120599e-14   3.8419293783192347e-31   5.6190741434703766e-17   4.2206237359935045e-15   8.3751304590254774e-14   1.1787572409940105e-13   2.6388363147443691e-11   2.3958981927970057e-16   4.4662507782426339e-21   1.2853086835868701e-28   1.4389006520618516e-29   4.3668671957432746e-22   2.2354216728439674e-22   9.6533841121009309e-22   3.2508784785262922e-20   7.8024667234276008e-10   3.9231591451771233e-13   1.9353121439704804e-12   2.4569778493836698e-10   3.9098171884227220e-20   9.6122202270952252e-13   2.1516739345832397e-12   2.2627057375959726e-14   1.1461733698532737e-11   5.3457610975600961e-12   7.8748160901265075e-22   4.3430622667341085e-20   4.8878686888948051e-22   1.6432261528173893e-11   2.6984886001153072e-32   3.3899910725745902e-28   2.6105754075387108e-28   6.4957767663395445e-30   1.0443819135677638e-14   1.2415393675020806e-13   9.9999766267920200e-03   3.4597086244417738e-11   1.3373687103142237e-12   7.2197795769461768e-13   1.1589659151213192e-15   3.7185024788150796e+00   1.0982311200455417e+00   1.7229256571449694e+05   3.5401480710936852e+02   9.4760834618816219e-04   6.8770832139310103e-04   1.8795721497197773e-06   1.8795721497197773e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
