alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       HNCO                     NH3                      NH2                      HCN                      NCO                      CN                       N2H3                     N2H4                     S3                       S4                       CO2                      SO4AER                   S8AER                    HCAER                    HCAER2                   SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e-01   9.8284288854884505e-01   2.7700000000000000e+02   2.5711372085314798e+19   9.9284138999999894e+04   1.2923835184754510e-15   3.8821361822282676e-03   6.2926480166800346e-03   2.6186586878221349e-19   1.1674637313284797e-14   1.5745915079703396e-11   3.2727678668310772e-09   1.4404719178572717e-05   1.7711403014042325e-07   1.7158666658795120e-20   7.5620625368852983e-10   2.3753256054694389e-05   1.3417457700194038e-19   5.0785431270999095e-21   5.4185332506742318e-15   1.7619487108169189e-12   1.9480025784637857e-19   1.1284934084054286e-08   2.8283799519853713e-12   8.5760100430915218e-32   5.1542584753514405e-19   3.5449894239834879e-22   2.3632866165514189e-21   8.2807752470849987e-18   1.5935992044811962e-20   3.4706396453061506e-32   1.1039645013385325e-25   2.0831487761364860e-32   8.7496056639153612e-38   7.4595215647051908e-29   1.7904445799941767e-24   1.3785517667421415e-34   1.8132508782197216e-31   4.7178693775631901e-43   4.1337277771133560e-09   3.2741891980378864e-17   1.6372291807987996e-20   2.5085160706573629e-19   2.3453247048238782e-25   6.6885059586416795e-25   1.1268514526491631e-29   5.1373407816410956e-39   1.6904684145543192e-41   1.5796811612328296e-34   7.9369670412324467e-39   1.6549317406083810e-50   7.3531911748357584e-47   2.0657872635336817e-22   5.3818831663995953e-30   4.5949687467368523e-17   3.3134470671362101e-11   2.2128563875835647e-19   1.2384978650888194e-33   2.3301203179799604e-12   2.4641652262405012e-12   1.3436208389507217e-10   5.9082823279501396e-18   2.5734523564458170e-19   2.5969279615654997e-27   1.2153618031260442e-24   1.7826412771789487e-17   2.9408841247760825e-32   4.9609582141899506e-37   3.8443698552313218e-30   1.5415905086047501e-32   5.1980190301416671e-51   5.4165458223477764e-54   1.0000000000000000e-02   9.5433226289395692e-11   9.7853388168847263e-79   4.3959323028940923e-31   1.0514351471809967e-34   1.5820936775081547e+01   1.0000000000000000e-100  1.6168075120091254e-13   4.9502844355998636e-17   6.9670297241506535e-04   4.7814214274584848e-04   1.0866311889257849e-06   1.0866311889257849e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
7.5000000000000000e-01   9.2529450630063204e-01   2.7300000000000000e+02   2.4560559692839674e+19   9.9284138999999894e+04   1.4856674472934693e-15   3.8821169618185889e-03   4.7160589623088094e-03   2.8036744111788576e-19   1.2916181992026968e-14   1.6158720725639950e-11   3.4855844691134073e-09   1.4404282556623064e-05   1.7685939902136394e-07   1.9156036197353860e-20   7.6064348011087908e-10   2.3744982704187188e-05   1.3419420669008544e-19   5.0853455810055013e-21   5.9817581639344618e-15   1.7763373380786479e-12   2.6952073966412272e-19   1.2075172590078400e-08   3.1589466683845920e-12   1.0725954701686481e-31   5.1542784916515398e-19   3.5248074946920159e-22   2.3628484386513156e-21   8.2807755914233555e-18   1.5935617986673430e-20   3.3171891848319426e-32   1.0778780667242886e-25   1.9336301412550920e-32   8.7493541250828022e-38   7.4851203932604061e-29   1.7922931691054122e-24   1.4061849515410598e-34   1.7440991319259561e-31   5.7391728231220841e-43   4.0134592888886765e-09   3.7755505789276818e-17   1.4872159082640728e-20   2.2046478688783010e-19   2.2604712376508948e-25   6.6026730346882383e-25   1.1913273984632641e-29   9.1219768315529988e-39   3.0300511994881192e-41   1.7930302489247426e-34   7.9419980622466258e-39   1.6136804924623844e-50   7.5763640255977995e-47   2.0635667081782953e-22   7.5807796342505571e-30   5.0652288575526575e-17   3.4651163259179394e-11   5.0262182822480129e-19   1.5650453377457729e-33   3.0643394956664730e-12   3.7988541465423488e-12   2.0736588378116348e-10   1.0059292520515474e-17   3.8740714918336276e-19   2.5815437909637730e-27   1.2327012596369613e-24   1.7893250172499271e-17   7.6651348185319008e-32   4.4587404416255548e-37   3.8443685724982003e-30   1.5321079383698216e-32   7.7186973113811064e-51   7.4268950650584442e-54   1.0000007621493589e-02   1.0099504170211315e-10   9.7853591924703226e-79   4.6973392001903992e-31   1.1235267076973009e-34   1.5993572887946035e+01   1.0000000000000000e-100  1.6503355341085922e-13   5.0529391657666457e-17   7.1683203039691202e-04   4.9481301194512369e-04   1.1498562857075719e-06   1.1498562857075719e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
1.2500000000000000e+00   8.7032321869977280e-01   2.6900000000000000e+02   2.3444944698687910e+19   9.9284138999999894e+04   1.7487477752589032e-15   3.8820977671416368e-03   3.3723004176805546e-03   2.9647744003747001e-19   1.4198482112243556e-14   1.6361558365283217e-11   3.6247821447858280e-09   1.4403945817145797e-05   1.7637731916265757e-07   2.0575537883390885e-20   7.3996041307447675e-10   2.3737033688507526e-05   1.3296438306129951e-19   5.0992858406162154e-21   6.8191435891914933e-15   1.8033559672355862e-12   3.3760118666617598e-19   1.3249099780211000e-08   3.5684756827859883e-12   1.3779245751810571e-31   5.1543142149723848e-19   3.4889734812514293e-22   2.3619674673386662e-21   8.2807767945738752e-18   1.5934872338121402e-20   3.0541459601647446e-32   1.0336870262991574e-25   1.7150950028312619e-32   8.7510293854379089e-38   7.5376731597706512e-29   1.7957752255989182e-24   1.4242716365670905e-34   1.6262727112352898e-31   6.8419792001111192e-43   3.7901048428799484e-09   4.3824563443083780e-17   1.2535480926055771e-20   1.7893206618409210e-19   2.1168647934195612e-25   6.4439883386109548e-25   1.2055202936444400e-29   1.4944246135778021e-38   4.9957511470224891e-41   1.9926845543393124e-34   7.9525616662677135e-39   1.5306565120693978e-50   7.2496836797141823e-47   2.0597033475786467e-22   1.0683991466360366e-29   5.3036452629579530e-17   3.5390085765406458e-11   1.0077154553285892e-18   2.1191538098114278e-33   3.5238296135599780e-12   5.2137492939583181e-12   2.7121373737565215e-10   1.5348792725503222e-17   5.2098040543015709e-19   2.5501945717675693e-27   1.2439800116598445e-24   1.7965873956235862e-17   1.7967565535586152e-31   4.0578810920280662e-37   3.8443642208253184e-30   1.5130441222608722e-32   1.4089802731032256e-50   1.2476482609301249e-53   1.0000015262016992e-02   1.1193579752606800e-10   -1.2213302120184880e-77  5.3239107295401420e-31   1.2733922562920392e-34   1.6920961679260444e+01   1.4105525896938850e-65   1.7855090107477047e-13   5.4668080663026371e-17   7.3846602759468014e-04   5.1278246866197136e-04   1.2180492808125109e-06   1.2180492808125109e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
1.7500000000000000e+00   8.1785714712219149e-01   2.6500000000000000e+02   2.2364155439365587e+19   9.9284138999999894e+04   2.0936129457118929e-15   3.8820785986792652e-03   2.3869652924985536e-03   3.1553861841656078e-19   1.5777418029720342e-14   1.6566404008398610e-11   3.7255166602966793e-09   1.4403683346041324e-05   1.7565356946270566e-07   2.1955916742899193e-20   7.1568840775054776e-10   2.3729384902155205e-05   1.3276440331037353e-19   5.1206788898902907e-21   8.0183840713988168e-15   1.8425533413423125e-12   4.1087812825149312e-19   1.4788196445201317e-08   4.0857703189220401e-12   1.7863204023623949e-31   5.1543600572857714e-19   3.4430080069825739e-22   2.3606457726807019e-21   8.2807788576962605e-18   1.5933760847058090e-20   2.7406067747027239e-32   9.7768276960628207e-26   1.4748471023675100e-32   8.7573971743680404e-38   7.6185483887930679e-29   1.8006905031964879e-24   1.4572204179465839e-34   1.4776434117375494e-31   8.1690291329245747e-43   3.4838901374696093e-09   5.1190175547301729e-17   1.0070373576572421e-20   1.3722546221973809e-19   1.9593129617243142e-25   6.2257519882330382e-25   1.2011527907482997e-29   2.2972140711805558e-38   7.6981655713763736e-41   2.2102571610319415e-34   7.9689328422437979e-39   1.4132741541629774e-50   6.6695158826842070e-47   2.0546698141904936e-22   1.6315470354934830e-29   5.4201645350674462e-17   3.5433259268329689e-11   1.9179321754814121e-18   3.0612214891066727e-33   3.8142987489340260e-12   6.7313675107752553e-12   3.3014364525222899e-10   2.2786187304856981e-17   6.5825609631115961e-19   2.5026831782067706e-27   1.2336708389647140e-24   1.8044683726968917e-17   3.9346359689228586e-31   3.7389468715168318e-37   3.8443542892155415e-30   1.4844355026277833e-32   2.9735215125420496e-50   2.4005615200937335e-53   1.0000022919234446e-02   1.2874809191105108e-10   -1.2213300970624055e-77  6.3373469017711992e-31   1.5157893747857372e-34   1.8565198425680947e+01   1.3455274805181845e-65   2.0274121807009699e-13   6.2074577117849368e-17   7.6174933954981637e-04   5.3217482058372202e-04   1.2916842478981039e-06   1.2916842478981039e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
2.2500000000000000e+00   7.6782276250141768e-01   2.6100000000000000e+02   2.1317751644698132e+19   9.9284138999999894e+04   2.5331147021240764e-15   3.8820594208427615e-03   1.6716013845881280e-03   3.3799475224166874e-19   1.7694077918859893e-14   1.6789156054194856e-11   3.8112913703337526e-09   1.4403475407083216e-05   1.7468103682210313e-07   2.3430557525570956e-20   6.9260368180390051e-10   2.3722017494655705e-05   1.3335964792992053e-19   5.1499299235961610e-21   9.7389542244104600e-15   1.8950299344830003e-12   4.9737548012033923e-19   1.6682193173990204e-08   4.7390180937066126e-12   2.2893337936073934e-31   5.1544117911770075e-19   3.3910478483898380e-22   2.3588845063174742e-21   8.2807817879931951e-18   1.5932287051517376e-20   2.4140807314635937e-32   9.1434851431367152e-26   1.2382888136027402e-32   8.7709380933860180e-38   7.7295686051087588e-29   1.8068765598985344e-24   1.5036164901242684e-34   1.3126450649197638e-31   9.8246614429174076e-43   3.1136641967956416e-09   6.0194355200020837e-17   7.8008516434603559e-21   1.0056835009649341e-19   1.8123476785658673e-25   5.9599010831774331e-25   1.1928113692650189e-29   3.3579129501348958e-38   1.1227387081187500e-40   2.4493946543436967e-34   7.9912874528660548e-39   1.2726908701396931e-50   5.9747172891301424e-47   2.0488003914328889e-22   2.7207463876824709e-29   5.4417974924295021e-17   3.4865162229758699e-11   3.5565925477521709e-18   4.7069123002642774e-33   3.9718592657720110e-12   8.3754845355668910e-12   3.8418586012231955e-10   3.3457989441895020e-17   7.9941341221487969e-19   2.4391364450671294e-27   1.1913803796618498e-24   1.8130136754468495e-17   8.1737532375409111e-31   3.4686490675153589e-37   3.8443355963978678e-30   1.4466716815289978e-32   6.9469057696815249e-50   5.0713791100354441e-53   1.0000030587229702e-02   1.5208561511234260e-10   -1.2213303041266303e-77  7.8181018239933989e-31   1.8699612955276489e-34   2.0904276521929372e+01   1.2825711544784694e-65   2.3841017632958857e-13   7.2995556619052935e-17   7.8684351960811626e-04   5.5312892146311128e-04   1.3712914694280263e-06   1.3712914694280263e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
2.7500000000000000e+00   7.2012298976837730e-01   2.5675000000000000e+02   2.0324372521540981e+19   9.9284138999999894e+04   3.0693497109743479e-15   3.8820402076143921e-03   1.1310358368761221e-03   3.6111404643226882e-19   1.9945152504663416e-14   1.6963309919979423e-11   3.8902286668005483e-09   1.4403305321728206e-05   1.7345664054520240e-07   2.4924721700455975e-20   6.6909493306848826e-10   2.3714919921162155e-05   1.3310191083311464e-19   5.1875128784359366e-21   1.2239133983538132e-14   1.9632214026225892e-12   6.0575482056975104e-19   1.8925177921860072e-08   5.5478757750026669e-12   2.8386992050469482e-31   5.1544664777553949e-19   3.3359162031399706e-22   2.3566851922238862e-21   8.2807855966580313e-18   1.5930453356577058e-20   2.0956100764776291e-32   8.4645391076819079e-26   1.0161639854334072e-32   8.7940155878996298e-38   7.8729353033644951e-29   1.8141989240249895e-24   1.5490652069659832e-34   1.1423872862666837e-31   1.1826876802469792e-42   2.6975450140272512e-09   7.1545021413322097e-17   5.8474705647254364e-21   7.0750138951983446e-20   1.6832117338953056e-25   5.6568255562101720e-25   1.1837711270490934e-29   4.7116250559122319e-38   1.5666368080343341e-40   2.7038460194969928e-34   8.0197240610409439e-39   1.1215552511814991e-50   5.2504667487518747e-47   2.0423213081308898e-22   4.8499190702058180e-29   5.3828331874005144e-17   3.3772642204511518e-11   6.6272327242225034e-18   7.5703338236560377e-33   4.0110203746249538e-12   1.0149873764151498e-11   4.3155616594094373e-10   4.9052811128346021e-17   9.4455339925340681e-19   2.3601940208492820e-27   1.1111873742694370e-24   1.8222706905350708e-17   1.6461059544120144e-30   3.1589122872302840e-37   3.8443043031320463e-30   1.4006164240618218e-32   1.7195587929474884e-49   1.1299098705623853e-52   1.0000038252895990e-02   1.8247764644629323e-10   -1.2213308942557493e-77  9.8534300038874165e-31   2.3567777696242620e-34   2.3912866507222354e+01   1.2228050295110013e-65   2.8647494853370021e-13   8.7711833156943667e-17   8.1424624135294069e-04   5.7595355424008930e-04   1.4572775434315677e-06   1.4572775434315677e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
3.2500000000000000e+00   6.7464300779347397e-01   2.5225000000000000e+02   1.9380446188945879e+19   9.9284138999999894e+04   3.7103772806506578e-15   3.8820209511070802e-03   7.3725146612970706e-04   3.8581761881896210e-19   2.2649061998897976e-14   1.7114610303385836e-11   3.9728150335664367e-09   1.4403156107395139e-05   1.7198210477678069e-07   2.6515149619161635e-20   6.4658243620724068e-10   2.3708081683295047e-05   1.3217013600470771e-19   5.2339228570965133e-21   1.6000925874763231e-14   2.0508670055600302e-12   7.5214399347496824e-19   2.1509015619841405e-08   6.5366218907516102e-12   3.3380893025274304e-31   5.1545212598122042e-19   3.2803264278799875e-22   2.3540547075497673e-21   8.2807902891296614e-18   1.5928265436671941e-20   1.8016937396785623e-32   7.7724068371654995e-26   8.1833016741947006e-33   8.8297080239547653e-38   8.0510383653386787e-29   1.8225088219441656e-24   1.5961372182655975e-34   9.7704008171443269e-32   1.4303047849954964e-42   2.2552644533138928e-09   8.6083707550060702e-17   4.2652468010256789e-21   4.8030341906300628e-20   1.5775815960405123e-25   5.3288684641892028e-25   1.1828662038041677e-29   6.3976574022194386e-38   2.1090768870521155e-40   2.9852564317367708e-34   8.0542800286580075e-39   9.7228170372393123e-51   4.5736997014116642e-47   2.0353886413036973e-22   8.9994966236385220e-29   5.2814115370584291e-17   3.2243045888374132e-11   1.2575655095086433e-17   1.2463973642257126e-32   3.9562055036633369e-12   1.2070333580082693e-11   4.7177035899609180e-10   7.2161000716190857e-17   1.0936982589137533e-18   2.2672271806470895e-27   9.9352533311107629e-25   1.8322870398438185e-17   3.2457840033228148e-30   2.8099294860788020e-37   3.8442559390559740e-30   1.3475937969796538e-32   4.3457843955574565e-49   2.5612167135988730e-52   1.0000045896327685e-02   2.2069436367176551e-10   1.2213255060203941e-77   1.2557357328756549e-30   3.0035117928469936e-34   2.7577761141092321e+01   1.0000000000000000e-100  3.4813211735981960e-13   1.0658976896930947e-16   8.4423379273522925e-04   6.0087140385604572e-04   1.5504239085504871e-06   1.5504239085504871e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
3.7500000000000000e+00   6.3131737254678122e-01   2.4800000000000000e+02   1.8446627685173879e+19   9.9284138999999894e+04   4.5027294864288194e-15   3.8820016300847491e-03   4.8506156827092761e-04   4.1913836787023007e-19   2.6044667842646421e-14   1.7389184603139643e-11   4.0762578726664775e-09   1.4403010122343413e-05   1.7026170094694333e-07   2.8470829835508833e-20   6.2882904930340907e-10   2.3701484180834090e-05   1.3342421133620586e-19   5.2897554285456469e-21   2.2028586922685179e-14   2.1638019360293234e-12   9.6830604602291889e-19   2.4426507248991485e-08   7.7427425648555826e-12   3.6362898104709720e-31   5.1545736557432020e-19   3.2265858297742812e-22   2.3510007863274823e-21   8.2807958739922250e-18   1.5925728430285093e-20   1.5441907061339471e-32   7.1093544061781330e-26   6.5461701515745064e-33   8.8818904918011350e-38   8.2667737924279928e-29   1.8316443993532168e-24   1.6732790817740206e-34   8.2559407721560070e-32   1.7802651283184554e-42   1.8071615153221844e-09   1.0431577493898603e-16   3.0574598852217724e-21   3.1797516476752954e-20   1.5015467729347606e-25   4.9903758921487206e-25   1.2117724728193614e-29   8.4785418866909571e-38   2.7544922391423054e-40   3.3209933459969269e-34   8.0950154924438620e-39   8.3545652945665533e-51   3.9880773926635565e-47   2.0280954806257523e-22   1.6806059681311340e-28   5.1734581440602297e-17   3.0365803520006783e-11   2.3412563626210630e-17   2.0524435298869603e-32   3.8336212295245272e-12   1.4174739459694152e-11   5.0507909969146070e-10   1.0517861195579531e-16   1.2469975575500499e-18   2.1621608142711255e-27   8.4509352444398281e-25   1.8431261159647446e-17   6.1667298255007205e-30   2.5377058109098882e-37   3.8441853875539722e-30   1.2891792190441823e-32   1.0885658867971845e-48   5.7325885055720019e-52   1.0000053501368039e-02   2.6805188431808677e-10   1.2213116841680679e-77   1.6092291280533595e-30   3.8490084044446537e-34   3.1881518697908142e+01   1.0000000000000000e-100  4.2463612144570273e-13   1.3001344000192392e-16   8.7642093594792793e-04   6.2779479097596668e-04   1.6519871204623890e-06   1.6519871204623890e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
4.2500000000000000e+00   5.9012090333374412e-01   2.4400000000000000e+02   1.7525567706496877e+19   9.9284138999999894e+04   5.4787076950535414e-15   3.8819822081583417e-03   3.2268905442791544e-04   4.6030036888575442e-19   3.0127400685696631e-14   1.7747600033456671e-11   4.1784752611922686e-09   1.4402852841546284e-05   1.6829968346571135e-07   3.0706256440006956e-20   6.1315121346069064e-10   2.3695109982599629e-05   1.3610719336154636e-19   5.3558095207064918e-21   3.2365711704565590e-14   2.3101743535307984e-12   1.3132332624375254e-18   2.7677821966663967e-08   9.1386358166952007e-12   3.5561066436813233e-31   5.1546236773410674e-19   3.1744771710180116e-22   2.3475235404059595e-21   8.2808023802994320e-18   1.5922839621152227e-20   1.3223904719022231e-32   6.4940400058267279e-26   5.2327006842420766e-33   8.9540615932819674e-38   8.5240056482139687e-29   1.8414969299030563e-24   1.7737510068951511e-34   6.9263926659326220e-32   2.2759294164068704e-42   1.3709512066334054e-09   1.2739540423283659e-16   2.1603217621290580e-21   2.0673188929752490e-20   1.4471417015979286e-25   4.6512914348160692e-25   1.2717268833816020e-29   1.1024810228273868e-37   3.5112936711972327e-40   3.7037535816254603e-34   8.1420538861198867e-39   7.1929999434797354e-51   3.4719244546063171e-47   2.0204849503713097e-22   3.0934118811107863e-28   5.0380927988439744e-17   2.8234608975670644e-11   4.2461350403323159e-17   3.3218696668187286e-32   3.6519609343592686e-12   1.6374793907574550e-11   5.2993887307096496e-10   1.5087434205059909e-16   1.4047303493772348e-18   2.0472018261112486e-27   6.7434685574861758e-25   1.8548718831874995e-17   1.1341023662521378e-29   2.3238484388973791e-37   3.8440869104331288e-30   1.2269836055680231e-32   2.6557263963783074e-48   1.2425208827231538e-51   1.0000061054194029e-02   3.2375100141442772e-10   1.2212900025166945e-77   2.0516740927033669e-30   4.9072618318989584e-34   3.6583524596332801e+01   1.0000000000000000e-100  5.1435449110155044e-13   1.5748301948348484e-16   9.1100193737073207e-04   6.5690429215576381e-04   1.7627340560507017e-06   1.7627340560507017e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
4.7500000000000000e+00   5.5100221871650101e-01   2.4000000000000000e+02   1.6636540772000852e+19   9.9284138999999894e+04   6.6484662419409887e-15   3.8819626671866342e-03   2.1174647151765938e-04   5.0451945771582414e-19   3.4777314647117843e-14   1.8081432661031405e-11   4.2428042141403638e-09   1.4402671898645540e-05   1.6610282163467393e-07   3.2983315834188810e-20   5.9578643671909504e-10   2.3688949237439581e-05   1.3798888802918267e-19   5.4329881400739415e-21   5.1672491072604279e-14   2.4991363432465918e-12   1.9198290397393535e-18   3.1263419267943135e-08   1.0647519024909236e-11   2.9961876574628058e-31   5.1546731386402047e-19   3.1219465697270248e-22   2.3436218685901195e-21   8.2808098457967070e-18   1.5919593613637036e-20   1.1292869361309371e-32   5.9241104515835107e-26   4.1720800170080101e-33   9.0495706479122548e-38   8.8272085330916418e-29   1.8519962432546047e-24   1.8745721053480764e-34   5.7938495379475261e-32   2.9372181605466909e-42   9.6422077333635268e-10   1.5720673724355743e-16   1.5006868062599570e-21   1.3217309829768538e-20   1.3987266252560712e-25   4.3172513480059491e-25   1.3508801210700585e-29   1.4110446917780014e-37   4.3944203659094045e-40   4.1127397939418267e-34   8.1955120231866759e-39   6.3017647759247909e-51   3.0050481658537625e-47   2.0125814020546818e-22   5.5985012932278921e-28   4.8533286982997107e-17   2.5940751389612379e-11   7.6474647832019243e-17   5.2483257685722834e-32   3.4232416327604482e-12   1.8503975593692627e-11   5.4543774028062412e-10   2.1391855452869576e-16   1.5670973040566542e-18   1.9249907789353519e-27   4.9256611960184691e-25   1.8676126715977521e-17   2.0534163022997052e-29   2.1081178029728690e-37   3.8439542436718689e-30   1.1625455333544182e-32   6.2698520819572714e-48   2.5844298196685786e-51   1.0000068533028155e-02   3.8527580231816177e-10   1.2212658890505409e-77   2.5788517707830311e-30   6.1681810851709139e-34   4.1327228782684756e+01   1.0000000000000000e-100  6.1372169421215668e-13   1.8790682343503894e-16   9.4858002123393321e-04   6.8859098392082653e-04   1.8833465026456387e-06   1.8833465026456387e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
