alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       HNCO                     NH3                      NH2                      HCN                      NCO                      CN                       N2H3                     N2H4                     S3                       S4                       CO2                      SO4AER                   S8AER                    HCAER                    HCAER2                   SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e-01   9.8285904159366366e-01   2.7700000000000000e+02   2.5711794652289110e+19   9.9284138999999894e+04   1.6701710519543984e-13   3.4099015348215109e-09   6.2926480166800346e-03   7.9508452914790725e-13   3.4945931654254179e-14   2.1503500475204639e-11   1.0021731875164711e-09   1.9524118655495228e-05   2.2580350752498391e-07   7.1410401677758978e-14   6.5548749717451120e-10   1.4802983623138557e-05   2.8563563250416740e-13   4.8946639701790848e-09   1.1381925177770596e-12   2.0199570939103942e-12   1.0095629237295452e-12   1.0143010233543860e-13   8.6007549465791860e-13   1.0941235216655543e-23   6.6717045513941509e-27   9.9668830136987754e-27   3.4716981819607719e-21   1.7566272163783978e-22   4.2617531510292282e-24   5.3719480296361741e-14   8.8346200789122126e-16   6.4418424021951476e-15   1.2691326170270596e-11   6.9137992583371361e-17   1.0221231106794663e-21   4.5992719734125256e-16   9.7749182125241311e-15   4.0226970070299403e-29   2.5110660403978000e-11   2.7637442510578846e-11   1.3322453628330214e-13   4.9125690311420040e-14   4.3019075556040267e-12   1.3443125092382847e-18   7.4667345898375286e-21   5.2590317751428787e-30   5.7594342178703681e-31   6.1025614238348564e-22   2.1627303464536980e-24   3.7067406108150429e-22   1.9379351977792221e-21   3.2798629165829934e-11   7.9182535879036566e-16   1.2315992665371197e-13   7.1185744396900439e-11   6.2944676474692878e-19   7.2682487458440961e-15   1.3350041275905437e-12   5.4973770248698613e-12   1.2632482753590011e-10   5.4534003410378697e-14   1.3710610073049571e-20   1.9931396664718804e-19   4.9425303485057228e-22   1.7734829967745745e-12   2.1357809615965103e-29   3.7417594956070742e-26   4.5444929180168486e-30   1.4509600857789528e-29   1.7266997694648966e-16   8.7836842603584704e-16   1.0000000000000000e-02   1.1213910784219390e-10   2.5851885821341458e-12   5.5578848450934048e-27   5.8794079554375635e-31   1.8589997064283100e+01   3.2743768533095112e+00   2.0457922589644861e-09   2.7701004797500787e-13   6.9669869641320015e-04   4.7813822044321985e-04   1.0866134554693523e-06   1.0866134554693523e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
7.5000000000000000e-01   9.2534045608214854e-01   2.7300000000000000e+02   2.4561779361111912e+19   9.9284138999999894e+04   2.0989103751229893e-13   4.9301846278506861e-10   4.7160589623088094e-03   2.9456096608863308e-12   4.5019045943781053e-14   9.8605949796425840e-12   5.7464731752606019e-10   1.9524884471457210e-05   2.2606412236866079e-07   6.1725786952951405e-13   4.6132170369902394e-10   1.4801247219821592e-05   1.4802414986865491e-12   4.9137688461081402e-09   2.6827409828355052e-12   7.2237913832347103e-13   1.6182982592611738e-12   1.1413140959893194e-14   6.3622897140952806e-13   6.5593578120513174e-24   2.6293379727972147e-27   4.4755176650571063e-27   3.5418084116393188e-21   1.9753942491183876e-22   6.7446394235273968e-24   3.5685170417147939e-14   8.5621947330595743e-16   2.9360546698973215e-15   1.2956879753391647e-11   4.2377829488516900e-17   4.6623763018611016e-22   3.6683630835549367e-15   1.6945921129098645e-14   4.8256705168818156e-28   6.3296470873308950e-12   1.8329673295785255e-11   3.5282449948533016e-13   7.4576601799526629e-14   1.1009402510521036e-11   1.6686071771988575e-18   2.4462494629275640e-20   9.5193592221077533e-30   1.0399479241359234e-30   1.7784893081607084e-21   2.2695193825265392e-23   7.8123573537768603e-22   6.2811665080608701e-21   3.5586242673687781e-11   2.5061485061923846e-14   4.0174274240811870e-13   6.8871348316333699e-11   1.6772705313787383e-18   5.5955458054418925e-14   9.3949192389501592e-13   7.7956735498069810e-12   1.9815141988870885e-10   2.9731753011962117e-13   3.2635327694099227e-21   1.9627415751838038e-19   2.3644129239318805e-22   1.7798797878698109e-12   4.2280367213199436e-30   3.9228887151988987e-26   1.7934076423363445e-30   7.5412487222239761e-30   1.5754464055184396e-15   7.8201182051052010e-15   1.0000000771144603e-02   1.1760155111668681e-10   2.7630625643478750e-12   5.9389354887873048e-27   6.2825021678566773e-31   1.8623560299424540e+01   3.3431401715627285e+00   2.0882766348560323e-09   2.8276262762026928e-13   7.1681826120994856e-04   4.9480038376915013e-04   1.1497995688835097e-06   1.1497995688835097e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
1.2500000000000000e+00   8.7039577839005700e-01   2.6900000000000000e+02   2.3446899326450921e+19   9.9284138999999894e+04   3.1537834240677043e-13   5.9160396649659861e-11   3.3723004176805546e-03   4.0641682911633635e-12   1.8856534892300945e-14   1.0883111745047800e-12   2.6704343362137792e-10   1.9526956432817787e-05   2.2705626047362952e-07   1.2416277627430545e-12   1.7586214831840937e-10   1.4800360116240700e-05   1.0137489249076078e-12   4.9133878573906068e-09   4.6009120620656890e-12   9.3357973618956016e-14   1.3079746490451480e-12   1.5891587649102801e-15   3.6502205148253603e-13   1.1734094746990339e-23   2.9561110286435968e-27   5.0936264468687639e-27   3.7427996852730717e-21   2.2845317574947148e-22   7.7389974398300883e-24   1.9516610636750284e-14   3.2061441797002028e-16   9.9164635739563894e-16   1.3391388353858735e-11   2.4333683333423518e-17   2.3877816478541115e-22   8.9271620170247536e-15   3.1931456721600042e-14   5.0507108822754101e-28   4.0623550548393627e-13   3.2684322452299052e-12   2.5002048109449015e-13   5.0644935892949607e-14   1.4614329712113362e-11   2.7372691924906364e-18   1.8603923903277220e-20   2.1491292454154892e-29   2.3449571413103013e-30   4.2018468992370302e-21   1.4902168961437776e-22   2.1331287919552400e-21   1.8008843705962062e-20   4.2302984485689193e-11   3.7789780683034816e-13   9.4214817116784866e-13   5.8816806330770710e-11   1.5637626068435091e-18   3.8794956461644028e-13   1.1596773228413420e-12   7.9236528388698492e-12   2.6003320222377919e-10   4.6580739065556079e-12   8.2578854147433523e-22   1.8192133126492882e-19   1.9551592584951957e-22   1.7865785443198477e-12   8.9416715447122045e-31   4.8370503918969533e-26   7.8209267774991177e-31   3.8644154171568531e-30   1.5870225653360975e-14   7.2287073460370266e-14   1.0000000067400167e-02   1.2788927655417715e-10   3.1319220831471998e-12   6.7310724799956071e-27   7.1204638240784957e-31   1.9333451054055207e+01   3.6174322766025688e+00   2.2593800074058594e-09   3.0593082573474188e-13   7.3844136129486170e-04   5.1275985594445464e-04   1.2179483871401936e-06   1.2179483871401936e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
1.7500000000000000e+00   8.1795331376100566e-01   2.6500000000000000e+02   2.2366785098672337e+19   9.9284138999999894e+04   3.5377037182989011e-13   7.4017388723828762e-12   2.3869652924985536e-03   4.3171480714797739e-12   1.3528016406916567e-14   5.1235503265526781e-14   1.2024381966307103e-10   1.9528990385636972e-05   2.2838192661023902e-07   1.1558001453913568e-12   6.7272125402664979e-11   1.4799557292908227e-05   7.3925185714250816e-13   4.9013324548315227e-09   5.7575041419679147e-12   1.8831472025832229e-14   1.1356360993524147e-12   1.9535733643376162e-16   2.0074819926417733e-13   1.0354168059145051e-23   4.2807660281356780e-27   7.3387163232756421e-27   4.0727888663650989e-21   2.7894451204035831e-22   9.3562599128372476e-24   1.2517953772621832e-14   1.4390598036599176e-16   6.8680976009916303e-16   1.3716924247177030e-11   2.6424513943822216e-17   2.7728473383760206e-22   1.6351233573750003e-14   5.1735680366306170e-14   3.7862250319184334e-28   3.1101041490730714e-14   4.2884258993700353e-13   1.5858710234560707e-13   3.4133242610934905e-14   1.1808016674569631e-11   4.6131669493756574e-18   1.3166022205845750e-20   4.7994061145697156e-29   5.2318888677613348e-30   7.9232527032169084e-21   2.8325084612371581e-22   4.5138353080094014e-21   3.1073182850601600e-20   5.1296739140206608e-11   1.2554267001775512e-12   1.3565178120748448e-12   4.9119775954125184e-11   1.9862272128849469e-18   1.1047081556651187e-12   1.4147725469373582e-12   8.0315405956642660e-12   2.9468632752710265e-10   2.3912560511471356e-11   5.2831262262511672e-22   1.5805849694331683e-19   1.7671694702890530e-22   1.7935984636665893e-12   3.3648393882127992e-31   4.4444307382224840e-26   4.4582598357098376e-31   2.1648952039007514e-30   8.1075819002738428e-14   3.2197596253861440e-13   9.9999987480498577e-03   1.4396851126978782e-10   3.7097288159135861e-12   8.0122828175706777e-27   8.4757928081798487e-31   2.0761604466659470e+01   4.0874247426351404e+00   2.5655437874702910e-09   3.4738689645778828e-13   7.6171217192518546e-04   5.3214077034373342e-04   1.2915333085859706e-06   1.2915333085859706e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
2.2500000000000000e+00   7.6793971187443377e-01   2.6100000000000000e+02   2.1320998614976582e+19   9.9284138999999894e+04   4.5677667461258796e-13   9.6906750956252979e-13   1.6716013845881280e-03   4.5339416243476381e-12   1.3314957688490762e-14   4.9215062650966706e-15   5.2776446792921895e-11   1.9530814554882296e-05   2.2999704841271422e-07   1.0076028385810452e-12   3.3069936156669311e-11   1.4798753832803469e-05   6.4787518671043602e-13   4.8831584283386790e-09   6.6754058187577580e-12   1.9219835098063552e-14   1.0660623709086378e-12   2.9334005027937269e-17   1.0842953038933321e-13   1.1173426154820938e-23   6.0430297633973796e-27   1.0302472599168376e-26   4.4612498061864024e-21   3.4362204962895279e-22   1.1597323526442041e-23   1.0888773709654102e-14   8.7307446039762257e-17   6.2252821265894384e-16   1.3810463459532497e-11   2.9424592169279783e-17   4.0888850140768645e-22   1.8825362998561072e-14   6.1618562296589979e-14   2.9190544223036534e-28   3.0781790704591281e-15   5.4768677431244384e-14   9.8554771812847603e-14   2.4060679083231277e-14   8.8192426231433961e-12   7.0807680538993947e-18   9.6840487044291859e-21   9.5036410238303889e-29   1.0352205145958577e-29   1.2681026256311635e-20   2.6818528799867784e-22   4.6556324472717460e-21   2.9237808003456367e-20   5.7470720145948172e-11   1.8442977897972628e-12   1.5069995862994311e-12   4.1424442620275693e-11   3.3429379030669064e-18   1.4885146960881494e-12   1.5409234904984409e-12   8.7063338812403401e-12   3.3271186967690898e-10   3.4902094624102141e-11   4.8976796993810294e-22   1.3153781946122707e-19   1.6729103846432416e-22   1.8009601804821271e-12   3.5174082198549736e-31   4.6722978165452741e-26   2.9986539573419472e-31   1.3722478814068983e-30   1.3406404203244122e-13   4.8172572056579318e-13   9.9999970306498282e-03   1.6700419382445115e-10   4.2257872162657441e-12   9.8842454365302642e-27   1.0456057767918097e-30   2.2957508498139919e+01   4.4383260755521006e+00   3.0169676857363005e-09   4.0851221953176258e-13   7.8679201743546553e-04   5.5308178228456674e-04   1.3710838461605290e-06   1.3710838461605290e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
2.7500000000000000e+00   7.2025807902888839e-01   2.5675000000000000e+02   2.0328185209780761e+19   9.9284138999999894e+04   6.3264559062952507e-13   1.8554904403114693e-13   1.1310358368761221e-03   4.7109460154855383e-12   1.3379359067904526e-14   8.8794012538041098e-16   2.2611054061196710e-11   1.9532441349961144e-05   2.3191048851337009e-07   8.9406059000725912e-13   2.2785259935937010e-11   1.4797939377066757e-05   5.6318542073334811e-13   4.8605762957032652e-09   7.5226365627445805e-12   2.7183813199349624e-14   1.0074215165773702e-12   7.0779444279326557e-18   5.8678080805714888e-14   1.4447879803003761e-23   8.1977573775628841e-27   1.3891829242335542e-26   4.8027948759865956e-21   3.9970195332954992e-22   1.3136819805595015e-23   1.1342272693206590e-14   5.8920503864559033e-17   5.6552467812561128e-16   1.3665129161667117e-11   2.7910053494955282e-17   5.6373519598327612e-22   1.7326883894697166e-14   6.0452347582403710e-14   2.2018105685761312e-28   4.4855567935544752e-16   1.0656716846258060e-14   5.8602553071889802e-14   1.6780353044368391e-14   6.4171970294295543e-12   9.8085547099116762e-18   7.0393587562070671e-21   1.6680037766604988e-28   1.8158272067226717e-29   1.7845428842669032e-20   2.1205732932515884e-22   3.3410630584079713e-21   2.0420241810711632e-20   5.9343710270059446e-11   2.1959869758105874e-12   1.4868301376535399e-12   3.4550029379592153e-11   6.0985197212078815e-18   1.5421027984821133e-12   1.5557856719297757e-12   9.8559271878629275e-12   3.7558338554106845e-10   4.0244148359271932e-11   4.7346073252273797e-22   1.0557259649487759e-19   1.5646403785460585e-22   1.8086823448892402e-12   4.8117202688377599e-31   5.1624584978453550e-26   2.2239909114312569e-31   9.4472878041053149e-31   1.4460888374069569e-13   4.7043263061343257e-13   9.9999949604982364e-03   1.9786214054179141e-10   4.3474779233398796e-12   1.2457208182227998e-26   1.3177908481946843e-30   2.5932903677615720e+01   4.3535149060475016e+00   3.6252580616788991e-09   4.9087920198872432e-13   8.1417832200611712e-04   5.7589145853923114e-04   1.4570057309798801e-06   1.4570057309798801e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
3.2500000000000000e+00   6.7479377265966656e-01   2.5225000000000000e+02   1.9384777206006276e+19   9.9284138999999894e+04   8.8222666568527802e-13   1.1193835789695277e-13   7.3725146612970706e-04   4.7864114480201255e-12   1.3122179357780105e-14   4.4928408718013932e-16   9.4760487352135095e-12   1.9533881841894202e-05   2.3410848856959728e-07   7.9199937012495835e-13   1.9702672481286672e-11   1.4797111598378277e-05   4.7638835892503598e-13   4.8351262148044291e-09   8.3359600362822899e-12   4.0404507666919562e-14   9.2626970307356595e-13   5.5415159647967809e-18   3.3265074615854662e-14   9.7225536293829155e-23   1.0732595495915214e-26   1.8049120868993626e-26   5.0105480146777343e-21   4.2967429315341032e-22   1.3408745365924982e-23   1.2399450845864213e-14   3.9225372179003863e-17   4.9953482364390222e-16   1.3342343780888496e-11   2.4070061774293361e-17   7.1227529581547563e-22   1.4798134282168360e-14   5.4027792212205973e-14   1.6303294546808332e-28   2.0158140286916773e-16   4.9087297305060768e-15   3.4114053689567679e-14   1.1602325192047424e-14   4.5780480002421946e-12   1.2443453398358796e-17   5.1328316720036843e-21   2.6422951248110385e-28   2.8752827694592168e-29   2.2248226772701258e-20   1.6093746832608756e-22   2.0784443070029868e-21   1.2516366760936747e-20   5.7365580888159940e-11   2.4307051185568897e-12   1.3691918048770696e-12   2.7752458559940453e-11   1.1414556261139769e-17   1.3862690380762373e-12   1.5010862881189232e-12   1.1358174256121587e-11   4.1911410737482871e-10   4.2950959808533262e-11   4.5982220971440823e-22   8.1930255702444023e-20   1.4207781659985191e-22   1.8167811257362191e-12   6.8641985580412292e-31   5.6170267407910925e-26   1.7192992005870218e-31   6.6515561355445606e-31   1.2677229095891271e-13   3.5850817955121418e-13   9.9999925628128164e-03   2.3757637989674953e-10   4.1367702901158724e-12   1.5875222636843057e-26   1.6793785792465913e-30   2.9692988478764921e+01   3.9502653162551131e+00   4.4055510115896977e-09   5.9653916115084976e-13   8.4414706450720378e-04   6.0079221546773301e-04   1.5500793311370451e-06   1.5500793311370451e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
3.7500000000000000e+00   6.3148150177400375e-01   2.4800000000000000e+02   1.8451423420058563e+19   9.9284138999999894e+04   1.2263521693947234e-12   1.5808534793078029e-13   4.8506156827092761e-04   4.8900074585503614e-12   1.2912779477436196e-14   5.3043605500607079e-16   3.9075030975125102e-12   1.9535154039778076e-05   2.3656197288405692e-07   7.0701593642401082e-13   1.9035768571420525e-11   1.4796268673861815e-05   3.9924346588022203e-13   4.8079865242329234e-09   9.1002710117670717e-12   6.0174092568424750e-14   8.3186984269005951e-13   1.0211694548302147e-17   2.1517318058928654e-14   5.8032734484183953e-21   1.3191868032397328e-26   2.2021427967982252e-26   5.0428785074943359e-21   4.2559218497433227e-22   1.2409680426638501e-23   1.3575303790389127e-14   2.4828461267545143e-17   4.3298113352022201e-16   1.2905375818659250e-11   1.9623656884456245e-17   8.2853897910043405e-22   1.2254718469057028e-14   4.5761077446226884e-14   1.2596687474157074e-28   2.1684203906883275e-16   3.6541723872690570e-15   2.0331576625919761e-14   8.0964374803589813e-15   3.2469794321470384e-12   1.4586726474530233e-17   3.8781857381090852e-21   3.8180287515836867e-28   4.1540680117613857e-29   2.5097290900112279e-20   1.2270653876585197e-22   1.2503792914215326e-21   7.3980075607228814e-21   5.2480505371955608e-11   2.5924957136671806e-12   1.1911193117198417e-12   2.0924495744025565e-11   2.1094195345259604e-17   1.1099114155483733e-12   1.3968158865060982e-12   1.3202762420599942e-11   4.5966609427515750e-10   4.3624114267549834e-11   4.5164803946375103e-22   6.1888729027343853e-20   1.2549640338774705e-22   1.8252819457616748e-12   9.8036137612198566e-31   6.1252796630901142e-26   1.3113981116670919e-31   4.6123357024578515e-31   9.5549334130736984e-14   2.1835997664265304e-13   9.9999898651660715e-03   2.8773481303829118e-10   3.8335960656506880e-12   2.0343451725184113e-26   2.1520825030592035e-30   3.4230411606923496e+01   3.4844984315255565e+00   5.3737086154582227e-09   7.2764295275930317e-13   8.7631260191022985e-04   6.2769602588386630e-04   1.6515599012455001e-06   1.6515599012455001e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
4.2500000000000000e+00   5.9029622389967662e-01   2.4400000000000000e+02   1.7530774423342922e+19   9.9284138999999894e+04   1.7049285439053626e-12   2.8262736674463149e-13   3.2268905442791544e-04   5.0354775157785474e-12   1.2792126983145452e-14   8.8699169635733777e-16   1.5880491007513233e-12   1.9536277675981486e-05   2.3924248549269220e-07   6.3459296484281957e-13   1.9266857844740093e-11   1.4795408845670167e-05   3.3166944992968740e-13   4.7799329057132866e-09   9.7920330170256323e-12   8.9778137442935690e-14   7.2729771102877843e-13   2.3814105665795775e-17   1.7342812707314517e-14   1.4165134242447130e-19   1.5266055771685071e-26   2.5309868198409948e-26   4.9043724338846401e-21   3.8956223782940425e-22   1.0424881843467433e-23   1.4753441457979035e-14   1.4789653181282033e-17   3.6968771669617526e-16   1.2401891511935354e-11   1.5275653452798335e-17   8.9438589642906412e-22   9.8863527763469284e-15   3.7058722827193277e-14   1.0145428744932273e-28   2.9457238451635208e-16   3.2195612267764568e-15   1.2503136607516603e-14   5.7135743936277523e-15   2.2986800627414892e-12   1.5912278047630512e-17   3.0245304096568566e-21   5.0781729538024402e-28   5.5255695475068135e-29   2.5695413873472033e-20   9.3990185342660628e-23   7.4678849323132963e-22   4.3265879065119129e-21   4.5690334145528139e-11   2.6690780181987872e-12   9.6784169909305161e-13   1.4515224059101036e-11   3.8345318761400915e-17   7.8293364057187966e-13   1.2497600363333715e-12   1.5326771200703230e-11   4.9325653258541583e-10   4.2293134163294936e-11   4.5002779936729828e-22   4.5824058785223350e-20   1.0888187853446295e-22   1.8342210126163534e-12   1.4040924465775015e-30   6.7240444369690142e-26   9.7196545426452245e-32   3.1244941025554151e-31   6.1576153477322082e-14   1.0326689942847054e-13   9.9999868910127868e-03   3.4764386468215063e-10   3.5785307297559433e-12   2.5935664980885284e-26   2.7437214800744570e-30   3.9293933621970403e+01   3.0903658813740131e+00   6.5090571527336563e-09   8.8139515864265657e-13   9.1086879810981371e-04   6.5678312349410186e-04   1.7622130072319624e-06   1.7622130072319624e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
4.7500000000000000e+00   5.5118670299150485e-01   2.4000000000000000e+02   1.6642110949504027e+19   9.9284138999999894e+04   2.3870438377383973e-12   5.6444892471103313e-13   2.1174647151765938e-04   5.1657464993062203e-12   1.2623577478680973e-14   1.7570083756711374e-15   6.3540097559828045e-13   1.9537272591153822e-05   2.4212183667264796e-07   5.6578458946173775e-13   1.9784587687720382e-11   1.4794531363911368e-05   2.6989696466242935e-13   4.7514701741664488e-09   1.0384751217912091e-11   1.3568472467880952e-13   6.1070664838694451e-13   6.2783459612837729e-17   1.7598054584994968e-14   1.4788982426628619e-18   1.6973323879432876e-26   2.7937123282021291e-26   4.6342555044251023e-21   3.3162215261066571e-22   7.9141535137472761e-24   1.5927112682908392e-14   8.1962405975300960e-18   3.0990677505119829e-16   1.1866041328764960e-11   1.1305741866868319e-17   9.0373746554759958e-22   7.6751368844222139e-15   2.8533936881566435e-14   8.2393919802861317e-29   4.3854442279617020e-16   3.2278455541053487e-15   7.8124518949176080e-15   4.0371356183769715e-15   1.6119492071100010e-12   1.6244374053972862e-17   2.3807526163077072e-21   6.2651065752155387e-28   6.8191537562415944e-29   2.3643244422945716e-20   7.1221049781014935e-23   4.3588423634524173e-22   2.4654884190283169e-21   3.7967573232146139e-11   2.6406542165475168e-12   7.1706463465034616e-13   9.1165841999662980e-12   7.0069570300393907e-17   4.7657178942345410e-13   1.0623899005274008e-12   1.7631192254405654e-11   5.1718248232849611e-10   3.9056883663972781e-11   4.5649152726027641e-22   3.3451165182391111e-20   9.3553372985904513e-23   1.8436316382019940e-12   2.0562862115631450e-30   7.3728174698337138e-26   7.0722989220643335e-32   2.0810667874505755e-31   3.3235377466011980e-14   3.6759028304319790e-14   9.9999836621035600e-03   4.1474585514072372e-10   3.3957726916613834e-12   3.2598300222756477e-26   3.4486467264807844e-30   4.4502079416199479e+01   2.7838835993876914e+00   7.7664573919575132e-09   1.0516873670463749e-12   9.4841845265856073e-04   6.8844422083230456e-04   1.8827189854658365e-06   1.8827189854658365e-06   1.4995148699983107e-05   1.0000000000000001e-05   1.3000000000000005e-07   1.3000000000000005e-07   
